Unnamed: 0,score,params,iteration,recall,accuracy,triggered,spontaneous
769,0.96875348662441,"{'attractor_size': 64, 'background_activity': 12.935059375440506, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.432762853024013, 'e_i_weight': 4.850745444378532, 'i_e_weight': 6.532639529017614, 'i_frequency': 10.541217514937136, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",769,0.9425856237958354,0.996415770609319,278,1
1872,0.9684664092257812,"{'attractor_size': 64, 'background_activity': 14.920619264067309, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.895485520283437, 'e_i_weight': 4.307152932556144, 'i_e_weight': 5.005720034401639, 'i_frequency': 10.00018548439534, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1872,0.9419529353681867,0.9965156794425089,286,1
1633,0.9699629789638011,"{'attractor_size': 64, 'background_activity': 13.83414367000513, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.257845049076776, 'e_i_weight': 4.606286442305492, 'i_e_weight': 5.912413646095784, 'i_frequency': 10.579584113549014, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1633,0.9472179956357868,0.9938271604938272,322,2
1986,0.973593495327421,"{'attractor_size': 64, 'background_activity': 15.898279325925728, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.344960038763697, 'e_i_weight': 3.8883879992560906, 'i_e_weight': 5.510141027233067, 'i_frequency': 11.011233210253964, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1986,0.9601625303356155,0.9874055415617128,392,5
1649,0.969630292386555,"{'attractor_size': 64, 'background_activity': 13.493147520788378, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.524058124920359, 'e_i_weight': 5.268353788782133, 'i_e_weight': 5.556162045579099, 'i_frequency': 10.510801980443585, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1649,0.9461533080141961,0.9943019943019944,349,2
923,0.9681357333618779,"{'attractor_size': 64, 'background_activity': 15.878060060193436, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.996969979885163, 'e_i_weight': 3.609712596881676, 'i_e_weight': 6.0165702515669635, 'i_frequency': 10.719888901291881, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",923,0.9409727278403005,0.9969135802469136,323,1
829,0.9719150540310669,"{'attractor_size': 64, 'background_activity': 14.900090659950507, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.006998870490504, 'e_i_weight': 3.969065552133343, 'i_e_weight': 5.018464875480449, 'i_frequency': 10.033819807230364, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",829,0.9545100823561543,0.9899665551839464,296,3
1767,0.9676318383302179,"{'attractor_size': 64, 'background_activity': 15.130654309896837, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.067853717978721, 'e_i_weight': 3.91480707870371, 'i_e_weight': 6.698252218577588, 'i_frequency': 10.02098717771224, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1767,0.939673780270418,0.9973045822102424,370,1
1763,0.9659204720964749,"{'attractor_size': 64, 'background_activity': 14.322187839587297, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.202191673204753, 'e_i_weight': 4.1264887737741915, 'i_e_weight': 7.585778414645583, 'i_frequency': 10.031419296331158, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1763,0.9340872205977865,1.0,374,0
588,0.9679301009307493,"{'attractor_size': 64, 'background_activity': 14.291771920018922, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.272634110466758, 'e_i_weight': 4.717361377987147, 'i_e_weight': 6.0277457773794225, 'i_frequency': 10.053586633262439, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",588,0.9411591190099108,0.996268656716418,267,1
1019,0.9658302898379012,"{'attractor_size': 64, 'background_activity': 14.665781812198913, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.83404084735625, 'e_i_weight': 5.16384226251199, 'i_e_weight': 5.0256455527151855, 'i_frequency': 10.013303255435, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1019,0.9339185632177472,1.0,318,0
1298,0.9669626226380549,"{'attractor_size': 64, 'background_activity': 12.951417861874624, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.281299210397417, 'e_i_weight': 4.9235545738101525, 'i_e_weight': 5.32701642815733, 'i_frequency': 11.02910172407451, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1298,0.9385199819763254,0.9971830985915492,354,1
