,score,params,iteration,recall,accuracy,triggered,spontaneous
1872,1.3409099537453812,"{'attractor_size': 64, 'background_activity': 14.920619264067309, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.895485520283437, 'e_i_weight': 4.307152932556144, 'i_e_weight': 5.005720034401639, 'i_frequency': 10.00018548439534, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1872,2.0490629246277825,0.9965156794425087,286,1
1633,1.3409081561886163,"{'attractor_size': 64, 'background_activity': 13.83414367000513, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.257845049076776, 'e_i_weight': 4.606286442305492, 'i_e_weight': 5.912413646095784, 'i_frequency': 10.579584113549014, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1633,2.060516193029195,0.9938271604938271,322,2
1986,1.3409071748341042,"{'attractor_size': 64, 'background_activity': 15.898279325925728, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.344960038763697, 'e_i_weight': 3.8883879992560906, 'i_e_weight': 5.510141027233067, 'i_frequency': 11.011233210253964, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1986,2.0886748887920668,0.9874055415617129,392,5
1649,1.3408491880989257,"{'attractor_size': 64, 'background_activity': 13.493147520788378, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.524058124920359, 'e_i_weight': 5.268353788782133, 'i_e_weight': 5.556162045579099, 'i_frequency': 10.510801980443585, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1649,2.0582001410803157,0.9943019943019943,349,2
923,1.3408130028143854,"{'attractor_size': 64, 'background_activity': 15.878060060193436, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.996969979885163, 'e_i_weight': 3.609712596881676, 'i_e_weight': 6.0165702515669635, 'i_frequency': 10.719888901291881, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",923,2.0469306451598626,0.9969135802469136,323,1
829,1.3407136959014938,"{'attractor_size': 64, 'background_activity': 14.900090659950507, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.006998870490504, 'e_i_weight': 3.969065552133343, 'i_e_weight': 5.018464875480449, 'i_frequency': 10.033819807230364, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",829,2.0763789224510587,0.9899665551839465,296,3
1767,1.3405595186854815,"{'attractor_size': 64, 'background_activity': 15.130654309896837, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.067853717978721, 'e_i_weight': 3.91480707870371, 'i_e_weight': 6.698252218577588, 'i_frequency': 10.02098717771224, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1767,2.04410499941203,0.9973045822102425,370,1
1763,1.3403590290733514,"{'attractor_size': 64, 'background_activity': 14.322187839587297, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.202191673204753, 'e_i_weight': 4.1264887737741915, 'i_e_weight': 7.585778414645583, 'i_frequency': 10.031419296331158, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1763,2.03195236219249,1.0,374,0
588,1.3403164681048438,"{'attractor_size': 64, 'background_activity': 14.291771920018922, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.272634110466758, 'e_i_weight': 4.717361377987147, 'i_e_weight': 6.0277457773794225, 'i_frequency': 10.053586633262439, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",588,2.0473361083425607,0.996268656716418,267,1
1019,1.3402791985005107,"{'attractor_size': 64, 'background_activity': 14.665781812198913, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.83404084735625, 'e_i_weight': 5.16384226251199, 'i_e_weight': 5.0256455527151855, 'i_frequency': 10.013303255435, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1019,2.0315854759379577,1.0,318,0
1298,1.3399096580726428,"{'attractor_size': 64, 'background_activity': 12.951417861874624, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.281299210397417, 'e_i_weight': 4.9235545738101525, 'i_e_weight': 5.32701642815733, 'i_frequency': 11.02910172407451, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1298,2.041595101923362,0.9971830985915493,354,1
